Clover ID,Name,Alternate Name,Description,Price,Price Type,Price Unit,Cost,Product Code,SKU,Quantity,Hidden?,Default tax rates?,Non-revenue item?,Printer Labels,Modifier Groups,Categories,Tax Rates,Variant Attribute,Variant Option
G9G26KYRNQA44,Glazed Donut,7,7,$0.00,Fixed,7,$0.00,7,DON-602,"-2,325",No,Yes,No,,Donuts Mod,Donuts,7,,
FBQLERSP5R6CF,Chocolate Donut,,,$0.00,Fixed,7,$0.00,,,-1,No,Yes,No,,Donuts Mod,,7,,
Y32SN999JAC5Z,Icing Donuts,7,,$0.99,Fixed,7,$0.28,7,7,22,No,Yes,No,,Donuts Mod,,7,,
NXD3QWPDCDVMK,Blueberry Cake,7,7,$0.00,Fixed,7,$0.00,2297,DON-565,"-1,444",No,Yes,No,,Sprinkle,Donuts,7,,
LJ3AR9UAFLSQX,Old Fashioned Cake,7,,$0.00,Fixed,7,$0.00,7349,DON-811,"-11,854",No,Yes,No,,Donuts Mod,Donuts,7,,
2Y9KDLRKLY8BD,Vanilla Cake,,,$0.00,Fixed,7,$0.00,,,-9,No,Yes,No,,Donuts Mod,,7,,
A9HA8CXVW3Q59,Jelly Fill,7,,$0.00,Fixed,7,$0.00,7,DON-169,"-14,532",No,Yes,No,,Jelly Fill,Donuts,7,,
,,,,,,,,,,,,,,,Add Cream/jelly,,,,
6QX8CY6AEZHRE,Glazed & Chocolate Mix,,,$0.00,Fixed,7,$0.00,,,-15,No,Yes,No,,,,7,,
SYZYNMFN58STR,Cinnamon Roll,7,,$0.00,Fixed,7,$0.00,7,DON-927,"-14,537",No,Yes,No,,Cinnamon Roll,Donuts,7,,
,,,,,,,,,,,,,,,Nuts Roll & Rossana,,,,
N65LQLUHL7U6R,Butter Roll,,,$0.00,Fixed,7,$0.00,,,-23,No,Yes,No,,,,7,,
H7R6M8RG62GNS,Long John,7,,$1.49,Fixed,7,$0.61,9906,SKU-755,-4,No,Yes,No,,,,7,,
69R8ZDHSERBP6,Twist,7,,$0.00,Fixed,7,$0.00,7,7,"-10,401",No,Yes,No,,Twists,Donuts,7,,
KNX73MH7M5DN9,Apple Fritter,7,,$0.00,Fixed,7,$0.00,7,DON-734,"-21,850",No,Yes,No,,Apple Fritter,Donuts,7,,
HUTX9DQ3T5JWR,Bear Claw,7,,$0.00,Fixed,7,$0.00,7,DON-552,"-8,359",No,Yes,No,,Bear Claw,Donuts,7,,
C7WXN9HAMLK2B,Reg. Kolaches,7,,$0.00,Fixed,7,$0.00,7,SAN-573,"-21,929",No,Yes,No,,Kolaches,Sandwiches & Kolaches,7,,
ASSGYQARKM6EP,Spicy Kolaches,7,,$0.00,Fixed,7,$0.00,8649,SAN-574,"-16,736",No,Yes,No,,Kolaches,Sandwiches & Kolaches,7,,
SRRY84S54W4SB,Biscuits,7,,$3.09,Fixed,7,$1.36,5740,7,15,No,Yes,No,,Biscuits,,7,,
S2TMT2AYV3XK9,Sausage Burrito,7,,$0.00,Fixed,7,$0.00,2627,7,"-10,856",No,Yes,No,,Sausage Burrito,Sandwiches & Kolaches,7,,
429VWBQV4WEZ3,Sausage Roll Fry,7,,$0.00,Fixed,7,$0.00,7,7,"-90,299",No,Yes,No,,Sausage Roll Fry,Sandwiches & Kolaches,7,,
,,,,,,,,,,,,,,,Ranch,,,,
AWJLWLVBLWATS,Biscuits & Gravy,7,,$0.00,Fixed,7,$0.00,5060,SAN-625,"-20,034",No,Yes,No,,Biscuits & Gravy,Sandwiches & Kolaches,7,,
R5NKNYCH4CXCZ,Coffee,7,,$0.00,Fixed,7,$0.00,358109492538,7,"-17,486",No,Yes,No,,Coffee,Drinks,7,,
WH4H76MN4QS7H,Cappuccino,7,,$0.00,Fixed,7,$0.00,7238,DRK-219,"-2,189",No,Yes,No,,Cappuccino,Drinks,7,,
9EK6R7XJ9BSWR,Customer Choice,,,$0.00,Fixed,7,$0.00,,,24,No,Yes,No,,,,7,,
D8F27752FQE3T,Donut Holes,7,,$1.79,Fixed,7,$0.84,7,7,"-107,282",No,Yes,No,,,Donuts,7,,
YSJ9YMFZLGRR2,Chocolate Donut Holes,7,,$2.09,Fixed,7,$0.79,7619,DON-227,"-6,060",No,Yes,No,,,Donuts,7,,
JHJ25T3DX97MB,Bacon Maple Long Johns,7,,$0.00,Fixed,7,$0.00,7,DON-379,"-2,771",No,Yes,No,,Bacon Maple,Donuts,7,,
HZHEPBRSV6XUH,Mtn Dew Can,7,,$1.09,Fixed,7,$0.49,01208500,7,-400,No,Yes,No,,,Drinks,7,,
Y299RZERVHLZ4,Gatorade Lemon-lime,7,,$2.69,Fixed,7,$1.20,052000328684,7,-814,No,Yes,No,,,Drinks,7,,
LF59ELJXH9SRX,Sunny D,7,,$0.00,Fixed,7,$0.00,776495284084,DRK-957,"-1,610",No,Yes,No,,Sunny D,Drinks,7,,
5HQFHR5E6Q84Y,A&W Root Beer,7,,$1.09,Fixed,7,$0.42,07818707,7,-98,No,Yes,No,,,Drinks,7,,
XAPHK7YN4VPWD,Sprite Bottle 20oz,7,,$2.79,Fixed,7,$0.85,04976400,DRK-698,"-1,859",No,Yes,No,,,Drinks,7,,
TL5AAL5D8WHFE,Gatorade Orange,7,,$2.59,Fixed,7,$0.92,052000328677,DRK-424,-218,No,Yes,No,,,Drinks,7,,
EMY73A8SYJE2U,Gatorade Fruit Punch (Red),7,,$2.59,Fixed,7,$1.19,052000328660,7,-536,No,Yes,No,,,Drinks,7,,
VMS3GSDE72FUC,Monster Green,7,,$3.29,Fixed,7,$1.39,070847811169,7,"-2,546",Yes,Yes,No,,,Drinks,7,,
E6MXJ3QUTZKSG,Minute Maid Orange Juice,7,,$2.79,Fixed,7,$0.79,025000061530,7,"-2,112",No,Yes,No,,,Drinks,7,,
PJ35LU4Z7JEV3,Sprite Can,7,,$1.09,Fixed,7,$0.35,04913207,DRK-577,"-1,429",No,Yes,No,,,Drinks,7,,
3HZSDWMPCL2ZY,Java Monster (Mean Bean),7,,$4.29,Fixed,7,$1.24,070847812609,DRK-972,-205,Yes,Yes,No,,,Drinks,7,,
U5GEJEN7GRHFW,Java Monster (Loca Moca),7,,$3.99,Fixed,7,$1.91,070847812715,7,-743,Yes,Yes,No,,,Drinks,7,,
GNYJGGDXAXTNX,Minute Maid Apple Juice,7,,$2.99,Fixed,7,$1.27,025000061516,7,"-2,992",No,Yes,No,,,Drinks,7,,
WMEMR8B3LG7CK,Dr. Pepper Can,7,,$1.09,Fixed,7,$0.50,07831504,DRK-448,"-1,488",No,Yes,No,,,Drinks,7,,
L3HY5VEVZ4WGY,Coke Can,7,,$1.09,Fixed,7,$0.33,04963406,DRK-133,-982,No,Yes,No,,,Drinks,7,,
677TCCX8VUS8A,Pepsi Can,7,,$1.09,Fixed,7,$0.44,01201303,DRK-383,"-5,087",No,Yes,No,,,Drinks,7,,
DNXS2JRFFMQJ9,Coke Bottle,7,,$2.89,Fixed,7,$0.84,04904403,7,"-2,822",No,Yes,No,,,Drinks,7,,
SCJVUWDJ6NG8R,Minute Maid Cranberry Grape,7,,$2.69,Fixed,7,$1.18,025000052002,DRK-840,"-1,112",No,Yes,No,,,Drinks,7,,
RKEVEBUXVS99N,Monster Blue,7,,$3.59,Fixed,7,$1.14,070847016205,DRK-113,-308,Yes,Yes,No,,,Drinks,7,,
